Codigo,Vereda,Dirección,Avaluo,Predial
20125000,2,EL ARRAYAN VDA RIQUE,420000,151040000000000000000000000000
20126000,2,LOS MANZANOS VDA RIQUE,2566000,151040000000000000000000000000
20126000,2,LOS MANZANOS VDA RIQUE,2566000,151040000000000000000000000000
20126000,2,LOS MANZANOS VDA RIQUE,2566000,151040000000000000000000000000
20126000,2,LOS MANZANOS VDA RIQUE,2566000,151040000000000000000000000000
20127000,2,LA PLAYA VDA RIQUE,549000,151040000000000000000000000000
20128000,2,SAN JOSE VDA RIQUE,1887000,151040000000000000000000000000
20128000,2,SAN JOSE VDA RIQUE,1887000,151040000000000000000000000000
20129000,2,EL DURAZNO VDA RIQUE,1050000,151040000000000000000000000000
20130000,2,EL CEREZO VDA RIQUE,1427000,151040000000000000000000000000
20130000,2,EL CEREZO VDA RIQUE,1427000,151040000000000000000000000000
20131000,2,EL DURAZNAL VDA RIQUE,1427000,151040000000000000000000000000
20131000,2,EL DURAZNAL VDA RIQUE,1427000,151040000000000000000000000000
20132000,2,SAN ISIDRO VDA RIQUE,968000,151040000000000000000000000000
20132000,2,SAN ISIDRO VDA RIQUE,968000,151040000000000000000000000000
20133000,2,EL ROSAL VDA RIQUE,1971000,151040000000000000000000000000
20133000,2,EL ROSAL VDA RIQUE,1971000,151040000000000000000000000000
